# 0.000137403 3 79 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.00156984 1.70036e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.21621e-07 4.25606e-08 7.906e-08 0.650054 0.857409 0 0
0.0525665 1.21827e-07 4.19795e-08 7.9847e-08 0.655416 0.845307 0 0
0.0552647 1.22041e-07 4.15766e-08 8.04648e-08 0.659324 0.835273 0 0
0.0581015 1.22245e-07 4.14555e-08 8.07893e-08 0.660881 0.829136 0 0
0.0610839 1.22449e-07 4.09592e-08 8.14895e-08 0.665499 0.820712 0 0
0.0642193 1.2272e-07 3.96037e-08 8.31164e-08 0.677285 0.803131 0 0
0.0675157 1.23083e-07 3.83332e-08 8.47494e-08 0.688557 0.783946 0 0
0.0709813 1.23476e-07 3.84378e-08 8.50385e-08 0.688703 0.77718 0 0
0.0746248 1.23846e-07 3.92792e-08 8.45671e-08 0.682839 0.778584 0 0
0.0784553 1.24183e-07 4.03407e-08 8.38418e-08 0.67515 0.783395 0 0
0.0824824 1.24499e-07 4.15231e-08 8.29762e-08 0.666479 0.78909 0 0
0.0867162 1.24808e-07 4.1976e-08 8.28323e-08 0.663676 0.788021 0 0
0.0911674 1.2516e-07 4.20578e-08 8.31018e-08 0.663967 0.78308 0 0
0.095847 1.25492e-07 4.25292e-08 8.29631e-08 0.661101 0.78132 0 0
0.100767 1.25638e-07 4.41865e-08 8.1451e-08 0.648302 0.792067 0 0
0.105939 1.25693e-07 4.57599e-08 7.99333e-08 0.635939 0.805924 0 0
0.111377 1.25465e-07 4.83669e-08 7.70982e-08 0.614499 0.832314 0 0
0.117094 1.25385e-07 5.10491e-08 7.43356e-08 0.59286 0.863318 0 0
0.123105 1.25466e-07 5.28716e-08 7.25941e-08 0.578597 0.885074 0 0
0.129424 1.25603e-07 5.4486e-08 7.11171e-08 0.566205 0.904288 0 0
0.136067 1.25728e-07 5.58306e-08 6.98977e-08 0.555942 0.919856 0 0
0.143051 1.25745e-07 5.68803e-08 6.88648e-08 0.547654 0.931974 0 0
0.150394 1.25545e-07 5.73941e-08 6.81509e-08 0.54284 0.939718 0 0
0.158114 1.25286e-07 5.70353e-08 6.82503e-08 0.544758 0.940383 0 0
0.16623 1.25347e-07 5.55373e-08 6.98099e-08 0.556933 0.929815 0 0
0.174762 1.25918e-07 5.29805e-08 7.29374e-08 0.579245 0.904477 0 0
0.183733 1.26703e-07 4.99551e-08 7.67479e-08 0.605731 0.870655 0 0
0.193164 1.27614e-07 4.69463e-08 8.06678e-08 0.632123 0.836124 0 0
0.203079 1.28626e-07 4.44785e-08 8.4148e-08 0.654204 0.80786 0 0
0.213503 1.29782e-07 4.25172e-08 8.72651e-08 0.672396 0.785221 0 0
0.224463 1.31196e-07 4.16211e-08 8.95747e-08 0.682756 0.770049 0 0
0.235984 1.32634e-07 4.1543e-08 9.10908e-08 0.686784 0.760078 0 0
0.248097 1.33559e-07 4.24208e-08 9.11386e-08 0.682383 0.756512 0 0
0.260832 1.33709e-07 4.36333e-08 9.00757e-08 0.67367 0.757419 0 0
0.274221 1.33478e-07 4.48144e-08 8.86634e-08 0.664256 0.759837 0 0
0.288297 1.3322e-07 4.63023e-08 8.69173e-08 0.652437 0.767396 0 0
0.303095 1.3321e-07 4.74094e-08 8.58002e-08 0.644099 0.77331 0 0
0.318653 1.33291e-07 4.83636e-08 8.49277e-08 0.637159 0.778551 0 0
0.335009 1.33482e-07 4.91948e-08 8.42876e-08 0.631451 0.783091 0 0
0.352205 1.33767e-07 4.98658e-08 8.3901e-08 0.627218 0.786204 0 0
0.370284 1.34108e-07 5.04056e-08 8.37021e-08 0.624141 0.787949 0 0
0.389291 1.34479e-07 5.08209e-08 8.36576e-08 0.622089 0.788294 0 0
0.409273 1.34864e-07 5.12046e-08 8.36598e-08 0.620325 0.788264 0 0
0.430281 1.3526e-07 5.15761e-08 8.36838e-08 0.618689 0.788042 0 0
0.452368 1.35687e-07 5.19682e-08 8.3719e-08 0.617 0.787986 0 0
0.475588 1.36136e-07 5.23636e-08 8.37721e-08 0.615357 0.787847 0 0
0.5 1.36617e-07 5.27481e-08 8.38693e-08 0.613899 0.787434 0 0
0.525665 1.37129e-07 5.31311e-08 8.39984e-08 0.612548 0.78684 0 0
0.552647 1.37658e-07 5.35139e-08 8.41443e-08 0.611255 0.786082 0 0
0.581015 1.38217e-07 5.38343e-08 8.43831e-08 0.61051 0.784526 0 0
0.610839 1.38805e-07 5.41598e-08 8.46451e-08 0.609813 0.782909 0 0
0.642193 1.39416e-07 5.44904e-08 8.49254e-08 0.609152 0.781206 0 0
0.675157 1.39915e-07 5.47913e-08 8.51235e-08 0.608395 0.778789 0 0
0.709813 1.40635e-07 5.50476e-08 8.55871e-08 0.608577 0.776274 0 0
0.746248 1.41524e-07 5.52712e-08 8.62529e-08 0.609457 0.773843 0 0
0.784553 1.41743e-07 5.54558e-08 8.62876e-08 0.608759 0.769855 0 0
0.824824 1.41847e-07 5.55782e-08 8.62686e-08 0.608181 0.764744 0 0
0.867162 1.43359e-07 5.56369e-08 8.77223e-08 0.611906 0.761101 0 0
0.911674 1.4529e-07 5.55747e-08 8.9715e-08 0.61749 0.757503 0 0
0.95847 1.4523e-07 5.53117e-08 8.99178e-08 0.619143 0.749835 0 0
1.00767 1.43361e-07 5.46998e-08 8.86615e-08 0.618448 0.73563 0 0
1.05939 1.43148e-07 5.46659e-08 8.84823e-08 0.618117 0.729335 0 0
1.11377 1.46649e-07 5.47458e-08 9.19035e-08 0.626689 0.72832 0 0
1.17094 1.50511e-07 5.37373e-08 9.67735e-08 0.642967 0.728234 0 0
1.23105 1.52021e-07 5.3267e-08 9.87537e-08 0.649607 0.722583 0 0
1.29424 1.50621e-07 5.2784e-08 9.78374e-08 0.649558 0.699244 0 0
1.36067 1.48135e-07 5.22975e-08 9.58376e-08 0.646961 0.681092 0 0
1.43051 1.43289e-07 5.05659e-08 9.27227e-08 0.647105 0.643614 0 0
1.50394 1.46424e-07 5.14217e-08 9.50027e-08 0.648817 0.631202 0 0
1.58114 1.46322e-07 4.8669e-08 9.76529e-08 0.667384 0.6447 0 0
1.6623 1.57539e-07 5.03099e-08 1.07229e-07 0.680651 0.646437 0 0
1.74762 1.56575e-07 4.69978e-08 1.09577e-07 0.699839 0.665319 3.95029e-302 0
1.83733 1.68379e-07 4.91608e-08 1.19218e-07 0.708034 0.672334 3.48559e-287 0
1.93164 1.62337e-07 4.71815e-08 1.15155e-07 0.70936 0.648736 5.20603e-273 0
2.03079 1.62957e-07 4.63176e-08 1.1664e-07 0.715768 0.663936 1.59345e-259 0
2.13503 1.64445e-07 5.02049e-08 1.1424e-07 0.6947 0.626453 1.16714e-246 0
2.24463 1.47083e-07 4.43228e-08 1.0276e-07 0.698655 0.590304 1.62559e-234 0
2.35984 1.52674e-07 4.88245e-08 1.03849e-07 0.680203 0.565145 7.08215e-223 0
2.48097 1.50353e-07 4.78471e-08 1.02506e-07 0.681768 0.51165 7.36243e-212 0
2.60832 1.3878e-07 4.44013e-08 9.43791e-08 0.680061 0.45412 2.07279e-201 0
2.74221 1.45526e-07 4.58261e-08 9.97001e-08 0.685101 0.447999 1.97333e-191 0
2.88297 1.51312e-07 4.56493e-08 1.05662e-07 0.698309 0.405646 5.84261e-182 0
3.03095 1.58145e-07 4.42094e-08 1.13935e-07 0.72045 0.443792 5.72725e-173 0
3.18653 1.60167e-07 4.34195e-08 1.16747e-07 0.728911 0.470285 2.04355e-164 0
3.35009 1.77729e-07 4.58225e-08 1.31907e-07 0.742178 0.474462 2.95678e-156 0
3.52205 1.81151e-07 4.47653e-08 1.36386e-07 0.752884 0.427447 1.56718e-148 0
3.70284 1.79013e-07 4.0696e-08 1.38317e-07 0.772665 0.433008 3.20058e-141 0
3.89291 1.88444e-07 4.04447e-08 1.47999e-07 0.785376 0.445236 3.08893e-134 0
4.09273 2.01535e-07 4.15542e-08 1.5998e-07 0.793811 0.45946 1.38796e-127 0
4.30281 2.195e-07 4.40151e-08 1.75485e-07 0.799476 0.463028 3.01047e-121 0
4.52368 2.15873e-07 4.43221e-08 1.7155e-07 0.794684 0.440567 3.01638e-115 0
4.75588 1.94312e-07 4.0932e-08 1.5338e-07 0.78935 0.408486 1.39512e-109 0
5 1.8627e-07 3.88514e-08 1.47419e-07 0.791424 0.378243 3.45188e-104 0
5.25665 1.86081e-07 3.77754e-08 1.48306e-07 0.796995 0.347064 4.70149e-99 0
5.52648 1.90294e-07 3.73673e-08 1.52926e-07 0.803633 0.317426 3.60805e-94 0
5.81015 1.96883e-07 3.7646e-08 1.59237e-07 0.80879 0.294002 1.60788e-89 0
6.10839 2.00182e-07 3.83345e-08 1.61848e-07 0.808502 0.278368 4.24332e-85 0
6.42193 1.91642e-07 3.85355e-08 1.53106e-07 0.798919 0.265005 6.64984e-81 0
6.75157 1.75394e-07 3.79104e-08 1.37483e-07 0.783855 0.242463 6.28737e-77 0
7.09813 1.6175e-07 3.72762e-08 1.24473e-07 0.769544 0.20755 3.75141e-73 0
7.46248 1.52494e-07 3.69911e-08 1.15503e-07 0.757427 0.166963 1.45834e-69 0
7.84553 1.45571e-07 3.69197e-08 1.08652e-07 0.746381 0.127919 3.76116e-66 0
8.24824 1.3903e-07 3.67917e-08 1.02238e-07 0.735369 0.0931621 6.51884e-63 0
8.67162 1.31839e-07 3.64753e-08 9.53633e-08 0.723333 0.0631098 7.7143e-60 0
9.11674 1.23562e-07 3.58555e-08 8.77065e-08 0.709818 0.0372684 6.32655e-57 0
9.5847 1.14178e-07 3.48923e-08 7.92853e-08 0.694403 0.0148525 3.65386e-54 0
10.0767 1.03997e-07 3.35928e-08 7.04043e-08 0.676983 -0.00467788 1.50983e-51 0
10.5939 9.33901e-08 3.19946e-08 6.13955e-08 0.657409 -0.021948 4.5353e-49 0
11.1377 8.2826e-08 3.02274e-08 5.25986e-08 0.635049 -0.0374093 1.008e-46 0
11.7094 7.32424e-08 2.83361e-08 4.49063e-08 0.613119 -0.0492142 1.68196e-44 0
12.3105 6.37712e-08 2.64573e-08 3.73139e-08 0.585122 -0.0620402 2.14426e-42 0
12.9424 5.54453e-08 2.45946e-08 3.08507e-08 0.556417 -0.0728294 2.11471e-40 0
13.6067 4.82026e-08 2.28895e-08 2.5313e-08 0.525139 -0.0824092 1.64261e-38 0
14.3051 4.20134e-08 2.1375e-08 2.06384e-08 0.491233 -0.0908707 1.01895e-36 0
15.0394 3.67984e-08 2.00487e-08 1.67497e-08 0.455175 -0.0982713 5.10988e-35 0
15.8114 3.24717e-08 1.89162e-08 1.35556e-08 0.417457 -0.104626 2.09675e-33 0
16.623 2.88837e-08 1.79364e-08 1.09474e-08 0.379015 -0.110136 7.10479e-32 0
17.4762 2.59433e-08 1.71182e-08 8.82508e-09 0.340168 -0.114943 2.01016e-30 0
18.3733 2.35877e-08 1.64826e-08 7.10511e-09 0.30122 -0.119059 4.80388e-29 0
19.3164 2.17353e-08 1.60099e-08 5.7254e-09 0.263414 -0.122521 9.7798e-28 0
20.3079 2.02868e-08 1.56717e-08 4.61512e-09 0.227494 -0.125886 1.70852e-26 0
21.3503 1.93421e-08 1.56174e-08 3.72467e-09 0.192568 -0.129118 2.60768e-25 0
22.4463 1.88706e-08 1.58549e-08 3.01564e-09 0.159807 -0.131895 3.50583e-24 0
23.5984 1.88396e-08 1.63843e-08 2.45529e-09 0.130326 -0.134214 4.17768e-23 0
24.8097 1.91693e-08 1.71548e-08 2.01448e-09 0.105089 -0.136392 4.42217e-22 0
26.0832 1.99583e-08 1.8285e-08 1.67331e-09 0.0838403 -0.139095 4.2045e-21 0
27.4221 2.10165e-08 1.96079e-08 1.40854e-09 0.0670206 -0.141637 3.57044e-20 0
28.8297 2.21507e-08 2.09447e-08 1.20607e-09 0.0544481 -0.14398 2.69675e-19 0
30.3095 2.31056e-08 2.20585e-08 1.04709e-09 0.0453178 -0.146133 1.80322e-18 0
31.8653 2.3293e-08 2.23808e-08 9.12199e-10 0.0391619 -0.148156 1.04847e-17 0
33.5009 2.2801e-08 2.20052e-08 7.95743e-10 0.0348995 -0.149989 5.35892e-17 0
35.2206 2.12661e-08 2.05863e-08 6.79842e-10 0.0319683 -0.15153 2.37547e-16 0
37.0284 1.92792e-08 1.87051e-08 5.74101e-10 0.0297782 -0.152935 9.36388e-16 0
38.9291 1.70837e-08 1.66075e-08 4.76182e-10 0.0278735 -0.154148 3.31666e-15 0
40.9273 1.49773e-08 1.45863e-08 3.91042e-10 0.026109 -0.155245 1.07299e-14 0
43.0282 1.31426e-08 1.28241e-08 3.18434e-10 0.0242293 -0.156468 3.22094e-14 0
45.2368 1.15748e-08 1.13164e-08 2.5845e-10 0.0223287 -0.157682 9.02849e-14 0
47.5588 1.03926e-08 1.01832e-08 2.09385e-10 0.0201474 -0.158638 2.40957e-13 0
50 9.39801e-09 9.2283e-09 1.69718e-10 0.0180589 -0.159638 6.06675e-13 0
52.5665 8.65546e-09 8.51796e-09 1.37503e-10 0.0158863 -0.159229 1.46212e-12 0
55.2648 8.07196e-09 7.96051e-09 1.11452e-10 0.0138073 -0.158055 3.36307e-12 0
58.1015 7.62421e-09 7.53372e-09 9.04943e-11 0.0118693 -0.156099 7.40549e-12 0
61.0839 7.28292e-09 7.20939e-09 7.35313e-11 0.0100964 -0.153215 1.56306e-11 0
64.2193 7.03749e-09 6.97769e-09 5.98007e-11 0.00849744 -0.149198 3.17136e-11 0
67.5157 6.87475e-09 6.82606e-09 4.86877e-11 0.00708211 -0.143388 6.19662e-11 0
70.9813 6.78477e-09 6.74508e-09 3.96953e-11 0.00585064 -0.135277 1.16802e-10 0
74.6248 6.75513e-09 6.72275e-09 3.23802e-11 0.00479342 -0.123595 2.12561e-10 0
78.4553 6.75514e-09 6.72873e-09 2.64132e-11 0.00391009 -0.106673 3.72626e-10 0
82.4824 6.71593e-09 6.6944e-09 2.15318e-11 0.00320607 -0.081486 6.24113e-10 0
86.7162 6.43998e-09 6.4225e-09 1.74728e-11 0.00271318 -0.0473423 9.70771e-10 0
91.1674 5.82057e-09 5.80647e-09 1.40988e-11 0.00242224 -0.0106948 1.37288e-09 0
95.847 4.95198e-09 4.94064e-09 1.13396e-11 0.0022899 0.0210694 1.76611e-09 0
100.767 3.97689e-09 3.96777e-09 9.12178e-12 0.0022937 0.0438293 2.07598e-09 0
105.939 2.99385e-09 2.98651e-09 7.33601e-12 0.00245036 0.051951 2.21767e-09 0
111.377 2.21461e-09 2.20869e-09 5.92189e-12 0.00267401 0.0488485 2.26047e-09 0
117.094 1.67996e-09 1.67516e-09 4.80096e-12 0.00285779 0.0382215 2.29795e-09 0
123.105 1.33286e-09 1.32895e-09 3.90664e-12 0.00293103 0.0257697 2.37957e-09 0
129.424 1.11871e-09 1.11552e-09 3.18769e-12 0.00284944 0.0138326 2.54228e-09 0
136.067 9.5757e-10 9.54964e-10 2.60566e-12 0.00272112 0.00436948 2.70441e-09 0
143.051 8.48594e-10 8.4646e-10 2.13455e-12 0.00251539 -0.00368371 2.91157e-09 0
150.394 7.41233e-10 7.39485e-10 1.74848e-12 0.00235888 -0.0102798 3.02323e-09 0
158.114 6.68321e-10 6.66891e-10 1.43054e-12 0.00214049 -0.01503 3.17444e-09 0
166.23 6.00677e-10 5.99508e-10 1.16974e-12 0.00194737 -0.0194013 3.25815e-09 0
174.763 5.38554e-10 5.37597e-10 9.56944e-13 0.00177688 -0.023419 3.27427e-09 0
183.733 4.95878e-10 4.95096e-10 7.82517e-13 0.00157804 -0.0259932 3.32008e-09 0
193.164 4.57614e-10 4.56974e-10 6.39747e-13 0.00139801 -0.0283699 3.3179e-09 0
203.079 4.24289e-10 4.23766e-10 5.23143e-13 0.00123299 -0.0302971 3.2786e-09 0
213.503 3.97564e-10 3.97136e-10 4.27951e-13 0.00107643 -0.0313753 3.225e-09 0
224.463 3.72668e-10 3.72318e-10 3.50014e-13 0.000939213 -0.0324086 3.12828e-09 0
235.984 3.49457e-10 3.49171e-10 2.86217e-13 0.000819032 -0.0333981 2.99456e-09 0
248.097 3.27843e-10 3.27609e-10 2.34178e-13 0.000714299 -0.0343436 2.83118e-09 0
