# 1.70049e-06 4 37 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 690.358 21047.6
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.27845e-11 9.07388e-12 3.71063e-12 0.290244 0.653527 0 0
0.0525665 1.31312e-11 9.33576e-12 3.79548e-12 0.289042 0.625939 0 0
0.0552647 1.3587e-11 9.61154e-12 3.97541e-12 0.29259 0.594975 0 0
0.0581015 1.44435e-11 1.00788e-11 4.36465e-12 0.302189 0.562574 0 0
0.0610839 1.57601e-11 1.08503e-11 4.90977e-12 0.311531 0.532903 0 0
0.0642193 1.72236e-11 1.17785e-11 5.44502e-12 0.316138 0.505961 0 0
0.0675157 1.86086e-11 1.26995e-11 5.90915e-12 0.317549 0.479023 0 0
0.0709813 1.97908e-11 1.35006e-11 6.29016e-12 0.317833 0.449793 0 0
0.0746248 2.06808e-11 1.41002e-11 6.58062e-12 0.318199 0.41724 0 0
0.0784553 2.11768e-11 1.44427e-11 6.73405e-12 0.317992 0.382549 0 0
0.0824824 2.11389e-11 1.44977e-11 6.64119e-12 0.314169 0.349461 0 0
0.0867162 2.06866e-11 1.44402e-11 6.24642e-12 0.301955 0.314122 0 0
0.0911674 2.11335e-11 1.47264e-11 6.40709e-12 0.303173 0.279998 0 0
0.095847 2.14853e-11 1.48625e-11 6.6228e-12 0.308248 0.253904 0 0
0.100767 2.13102e-11 1.4729e-11 6.58119e-12 0.308828 0.23337 0 0
0.105939 2.03055e-11 1.40942e-11 6.21129e-12 0.305893 0.219969 0 0
0.111377 1.86558e-11 1.31312e-11 5.52459e-12 0.296132 0.205713 0 0
0.117094 1.69017e-11 1.20484e-11 4.85339e-12 0.287153 0.191149 0 0
0.123105 1.50982e-11 1.08836e-11 4.21463e-12 0.279148 0.177074 0 0
0.129424 1.33133e-11 9.68217e-12 3.63113e-12 0.272744 0.163967 0 0
0.136067 1.16034e-11 8.47811e-12 3.12529e-12 0.269343 0.152342 0 0
0.143051 9.92575e-12 7.1967e-12 2.72905e-12 0.274946 0.143684 0 0
0.150394 7.52342e-12 5.24518e-12 2.27824e-12 0.30282 0.136702 0 0
0.158114 5.13256e-12 3.37359e-12 1.75898e-12 0.342709 0.123952 0 0
0.16623 3.41612e-12 2.10186e-12 1.31427e-12 0.384724 0.108804 0 0
0.174762 2.3366e-12 1.35805e-12 9.78546e-13 0.418791 0.0950363 0 0
0.183733 1.59858e-12 8.68285e-13 7.30292e-13 0.456839 0.083276 0 0
0.193164 1.11897e-12 5.69255e-13 5.49716e-13 0.491269 0.0733876 0 0
