# 4.3582e-06 4 46 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 47.3625 296049
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.1717e-10 6.19279e-11 5.52422e-11 0.47147 0.875885 0 0
0.0525665 1.18815e-10 6.28057e-11 5.6009e-11 0.471398 0.866214 0 0
0.0552647 1.21015e-10 6.34495e-11 5.75658e-11 0.47569 0.853713 0 0
0.0581015 1.24766e-10 6.43451e-11 6.0421e-11 0.484274 0.836956 0 0
0.0610839 1.29995e-10 6.62002e-11 6.37952e-11 0.49075 0.819009 0 0
0.0642193 1.35579e-10 6.88903e-11 6.66883e-11 0.491879 0.803843 0 0
0.0675157 1.40957e-10 7.19767e-11 6.89806e-11 0.489372 0.791942 0 0
0.0709813 1.45894e-10 7.51429e-11 7.07515e-11 0.48495 0.782608 0 0
0.0746248 1.50201e-10 7.81608e-11 7.20404e-11 0.479626 0.775098 0 0
0.0784553 1.53563e-10 8.0872e-11 7.26908e-11 0.473362 0.769275 0 0
0.0824824 1.55609e-10 8.32117e-11 7.23974e-11 0.465252 0.76616 0 0
0.0867162 1.55902e-10 8.44508e-11 7.14513e-11 0.458309 0.76014 0 0
0.0911674 1.5884e-10 8.58401e-11 7.29995e-11 0.45958 0.746666 0 0
0.095847 1.62523e-10 8.76685e-11 7.48543e-11 0.460577 0.735454 0 0
0.100767 1.65396e-10 8.93339e-11 7.60617e-11 0.459877 0.724837 0 0
0.105939 1.67779e-10 9.08644e-11 7.69146e-11 0.458428 0.715087 0 0
0.111377 1.69655e-10 9.19808e-11 7.76745e-11 0.457837 0.704228 0 0
0.117094 1.72379e-10 9.30601e-11 7.93191e-11 0.460143 0.692152 0 0
0.123105 1.76193e-10 9.44626e-11 8.17305e-11 0.463869 0.681189 0 0
0.129424 1.80866e-10 9.61473e-11 8.47191e-11 0.468407 0.670976 0 0
0.136067 1.85876e-10 9.76662e-11 8.82099e-11 0.474563 0.65862 0 0
0.143051 1.91877e-10 9.8637e-11 9.32398e-11 0.485936 0.640032 0 0
0.150394 2.01762e-10 9.65027e-11 1.0526e-10 0.521701 0.609993 0 0
0.158114 2.07765e-10 8.28228e-11 1.24943e-10 0.601364 0.550665 0 0
0.16623 2.10045e-10 6.31085e-11 1.46936e-10 0.699548 0.498838 0 0
0.174762 2.15459e-10 5.23247e-11 1.63134e-10 0.757148 0.501112 0 0
0.183733 2.07115e-10 4.30409e-11 1.64074e-10 0.792189 0.539628 0 0
0.193164 1.67103e-10 2.95909e-11 1.37512e-10 0.822918 0.561546 0 0
0.203079 1.21898e-10 1.75179e-11 1.0438e-10 0.856291 0.529625 0 0
0.213503 9.03098e-11 1.06809e-11 7.96288e-11 0.88173 0.4654 0 0
0.224463 7.02866e-11 7.69646e-12 6.25902e-11 0.890499 0.399674 0 0
0.235984 5.68017e-11 6.52195e-12 5.02797e-11 0.88518 0.344221 0 0
0.248097 4.6802e-11 5.95632e-12 4.08457e-11 0.872734 0.299087 0 0
0.260832 3.87265e-11 5.43527e-12 3.32913e-11 0.85965 0.261862 0 0
0.274221 3.20894e-11 4.97646e-12 2.71129e-11 0.844919 0.230811 0 0
0.288297 2.66406e-11 4.57364e-12 2.2067e-11 0.828321 0.204677 0 0
0.303095 2.21528e-11 4.21816e-12 1.79346e-11 0.809588 0.182327 0 0
