# 1.52857e-05 4 58 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.11214 2.47112e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.55364e-09 6.91637e-10 8.62006e-10 0.554829 0.923739 0 0
0.0525665 1.56267e-09 6.92031e-10 8.70644e-10 0.55715 0.917614 0 0
0.0552647 1.5735e-09 6.88452e-10 8.85046e-10 0.56247 0.908628 0 0
0.0581015 1.5896e-09 6.82025e-10 9.07571e-10 0.570944 0.895134 0 0
0.0610839 1.61117e-09 6.7959e-10 9.31575e-10 0.578199 0.88021 0 0
0.0642193 1.63456e-09 6.84339e-10 9.50221e-10 0.581331 0.868039 0 0
0.0675157 1.65784e-09 6.94748e-10 9.63089e-10 0.580931 0.859307 0 0
0.0709813 1.6801e-09 7.09088e-10 9.71016e-10 0.57795 0.853545 0 0
0.0746248 1.70043e-09 7.25929e-10 9.74504e-10 0.573092 0.850298 0 0
0.0784553 1.71721e-09 7.44672e-10 9.72537e-10 0.566347 0.849913 0 0
0.0824824 1.7284e-09 7.65804e-10 9.62595e-10 0.556929 0.853703 0 0
0.0867162 1.73493e-09 7.77387e-10 9.57542e-10 0.55192 0.855119 0 0
0.0911674 1.75083e-09 7.82889e-10 9.67939e-10 0.552846 0.848017 0 0
0.095847 1.76636e-09 7.93909e-10 9.72447e-10 0.550539 0.843553 0 0
0.100767 1.77778e-09 8.05582e-10 9.72201e-10 0.546862 0.84139 0 0
0.105939 1.78535e-09 8.20321e-10 9.65032e-10 0.540527 0.842954 0 0
0.111377 1.79208e-09 8.35093e-10 9.56987e-10 0.534009 0.845558 0 0
0.117094 1.80037e-09 8.48199e-10 9.52175e-10 0.528876 0.846393 0 0
0.123105 1.80964e-09 8.60321e-10 9.49315e-10 0.524589 0.846032 0 0
0.129424 1.81983e-09 8.7173e-10 9.48099e-10 0.520982 0.84462 0 0
0.136067 1.83071e-09 8.82086e-10 9.4862e-10 0.518171 0.841878 0 0
0.143051 1.84204e-09 8.90168e-10 9.51877e-10 0.51675 0.836944 0 0
0.150394 1.85231e-09 9.02886e-10 9.49429e-10 0.512564 0.834603 0 0
0.158114 1.86022e-09 9.21051e-10 9.39167e-10 0.504869 0.834323 0 0
0.16623 1.9032e-09 9.27769e-10 9.75428e-10 0.512521 0.836488 0 0
0.174762 2.02245e-09 9.14388e-10 1.10806e-09 0.547882 0.843874 0 0
