# 0.000594021 4 93 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 6.90281e-05 2.79238e+22
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.24005e-06 9.45132e-07 1.29492e-06 0.578075 0.932176 0 0
0.0525665 2.24106e-06 9.37167e-07 1.3039e-06 0.58182 0.926424 0 0
0.0552647 2.24217e-06 9.23731e-07 1.31844e-06 0.588019 0.917626 0 0
0.0581015 2.24349e-06 9.03293e-07 1.34019e-06 0.597371 0.903945 0 0
0.0610839 2.24503e-06 8.82855e-07 1.36218e-06 0.606752 0.888608 0 0
0.0642193 2.24669e-06 8.68847e-07 1.37785e-06 0.613277 0.876138 0 0
0.0675157 2.24839e-06 8.61287e-07 1.3871e-06 0.616932 0.867345 0 0
0.0709813 2.25012e-06 8.58983e-07 1.39113e-06 0.61825 0.861805 0 0
0.0746248 2.25184e-06 8.61055e-07 1.39079e-06 0.617621 0.85911 0 0
0.0784553 2.25352e-06 8.6805e-07 1.38547e-06 0.614802 0.859752 0 0
0.0824824 2.25502e-06 8.81956e-07 1.37307e-06 0.608893 0.865249 0 0
0.0867162 2.25629e-06 8.87931e-07 1.36836e-06 0.606465 0.868212 0 0
0.0911674 2.25806e-06 8.80751e-07 1.37731e-06 0.609952 0.861768 0 0
0.095847 2.25993e-06 8.80649e-07 1.37928e-06 0.61032 0.858501 0 0
0.100767 2.26164e-06 8.84217e-07 1.37742e-06 0.609037 0.858033 0 0
0.105939 2.26311e-06 8.93957e-07 1.36915e-06 0.604987 0.861907 0 0
0.111377 2.26446e-06 9.0382e-07 1.36064e-06 0.600868 0.866928 0 0
0.117094 2.26589e-06 9.10511e-07 1.35538e-06 0.598166 0.870073 0 0
0.123105 2.2674e-06 9.15321e-07 1.35208e-06 0.596313 0.872053 0 0
0.129424 2.26898e-06 9.1859e-07 1.35039e-06 0.595152 0.873014 0 0
0.136067 2.27061e-06 9.20154e-07 1.35046e-06 0.594755 0.872766 0 0
0.143051 2.27229e-06 9.19021e-07 1.35327e-06 0.595554 0.870445 0 0
0.150394 2.27367e-06 9.22898e-07 1.35078e-06 0.594094 0.871641 0 0
0.158114 2.27497e-06 9.33199e-07 1.34177e-06 0.589797 0.878013 0 0
0.16623 2.27649e-06 9.44895e-07 1.3316e-06 0.584934 0.885768 0 0
0.174762 2.27826e-06 9.5548e-07 1.32278e-06 0.58061 0.892807 0 0
0.183733 2.28019e-06 9.65071e-07 1.31511e-06 0.576758 0.899099 0 0
